,Date,Open,High,Low,Close,Adj Close,Volume,Normalized,Standardized
0,2007-11-01,6.735714,6.789286,6.428571,6.694286,5.706328,805036400,0.018622828273401452,-0.7889896434957231
1,2007-11-02,6.7575,6.765714,6.553214,6.709642999999999,5.719419,1002114400,0.018696134744270763,-0.7887075316463404
2,2007-11-05,6.6175,6.748571000000001,6.58,6.649286,5.667971,804176800,0.01840803824184282,-0.7898162391879365
3,2007-11-06,6.680357000000001,6.857142999999999,6.616786,6.8496429999999995,5.838758,954727200,0.019364404618770207,-0.7861357689090811
4,2007-11-07,6.8075,6.881429,6.6475,6.653571,5.671623,994327600,0.018428488568908347,-0.7897375383649327
5,2007-11-08,6.666786,6.675,5.991786,6.266786,5.34192,1890378000,0.01658223057753846,-0.7968426581477583
6,2007-11-09,6.1125,6.2542860000000005,5.900357,5.906071,5.034441,1526380800,0.014860421673984596,-0.8034688493735086
7,2007-11-12,5.902857,5.989286,5.379643,5.491429,4.680993,1769065200,0.012881197358362042,-0.8110856753562878
8,2007-11-13,5.744643,6.106429,5.491429,6.07,5.174176,1739446800,0.015642904273245356,-0.8004575515907976
9,2007-11-14,6.327143,6.341786,5.847857,5.9325,5.0569690000000005,1449168000,0.01498657308913575,-0.8029833695978696
10,2007-11-15,5.9425,6.056786,5.725,5.867857,5.001867,1487410400,0.014678015060120349,-0.8041708210625919
11,2007-11-16,5.903571,5.965,5.690357,5.9425,5.065493,1383494000,0.015034305451651214,-0.8027996768773641
12,2007-11-19,5.932143,6.007143,5.789286,5.855357,4.991211,1154428800,0.014618344007215046,-0.8044004585132847
13,2007-11-20,5.916786,6.135357,5.840357,6.030357,5.140383,1543642800,0.015453671550757653,-0.8011857928043171
14,2007-11-21,5.922857,6.155357,5.8810709999999995,6.0164290000000005,5.1285099999999995,1217809600,0.01538718558875083,-0.8014416566793243
15,2007-11-23,6.142857,6.144643,6.0625,6.126429,5.222279,465757600,0.01591226957522582,-0.7994209290034591
16,2007-11-26,6.199643,6.331071,6.155357,6.162143,5.252721,1305754800,0.016082737498700227,-0.7987649020445634
17,2007-11-27,6.257857,6.278214,6.071786,6.243214,5.321829,1317030400,0.016469725779873254,-0.7972756204245856
18,2007-11-28,6.315,6.45,6.2625,6.436429,5.486527,1150912000,0.017391995212249167,-0.7937263684675459
19,2007-11-29,6.408214,6.613214,6.398214,6.581786,5.6104330000000004,1050926800,0.018085839195102458,-0.7910561866014093
20,2007-11-30,6.690714,6.703571000000001,6.417857,6.507857,5.547414,1187802000,0.017732947858480893,-0.7924142498995713
21,2007-12-03,6.495,6.576428999999999,6.346429,6.387857,5.445125,961469600,0.017160153908534325,-0.7946185840956979
22,2007-12-04,6.326786,6.460714,6.321071,6.421786,5.474044999999999,773799600,0.0173220989958111,-0.7939953563297408
23,2007-12-05,6.531786,6.642857000000001,6.514643,6.625,5.6472690000000005,892402000,0.018292111990224433,-0.7902623685520735
24,2007-12-06,6.649642999999999,6.789286,6.647142999999999,6.783929,5.782743,899810800,0.019050734007988433,-0.7873428955795543
25,2007-12-07,6.805,6.963928999999999,6.715714,6.939286,5.915172,1066066400,0.019792304753596213,-0.7844890425429732
26,2007-12-10,6.9139289999999995,6.987857000000001,6.881786,6.936071000000001,5.912431,722377600,0.019776955808775133,-0.7845481112603484
27,2007-12-11,6.955357000000001,7.029642999999999,6.6925,6.733571,5.739815,1110925200,0.01881034746903208,-0.788267996600889
28,2007-12-12,6.908571,6.945714,6.634286,6.816428999999999,5.810447,1225660800,0.01920586978592467,-0.7867458726878505
29,2007-12-13,6.7925,6.861428999999999,6.707857000000001,6.851071000000001,5.839975,864617600,0.019371219527871724,-0.7861095424847667
30,2007-12-14,6.798928999999999,6.9,6.769286,6.799643,5.796137,674312800,0.0191257372064319,-0.7870542540616693
31,2007-12-17,6.8114289999999995,6.880357000000001,6.535,6.585714,5.613783,1024693600,0.01810459839435478,-0.7909839938968466
32,2007-12-18,6.661428999999999,6.6903570000000006,6.378571,6.535,5.570551,1222603200,0.01786250952806329,-0.7919156461367447
33,2007-12-19,6.535,6.594286,6.460714,6.54,5.574813,827478400,0.01788637570932102,-0.791823799776492
34,2007-12-20,6.6225,6.708214,6.5475,6.686071000000001,5.699325,774057200,0.018583613147322642,-0.7891405585733509
35,2007-12-21,6.79,6.925357000000001,6.781786,6.925357000000001,5.903298,993960800,0.01972581319182842,-0.7847449279680415
36,2007-12-24,6.965357000000001,7.118929,6.956786,7.1,6.0521650000000005,480202800,0.020559432808274925,-0.7815368350276983
